N,P,K,temperature,humidity,ph,rainfall,label
39.29,53.77,45.96,21.57,45.96,6.42,76.17,pulses
30.83,51.99,28.26,20.75,58.46,7.76,52.82,pulses
34.59,47.59,39.71,21.59,48.4,6.31,43.46,pulses
65.95,47.94,40.02,23.1,77.5,6.24,132.81,maize
41.07,45.66,35.78,29.94,58.18,6.59,40.58,groundnut
84.42,47.7,46.06,28.59,65.93,6.26,64.22,maize
101.92,53.26,57.17,21.73,88.81,7.09,268.14,sugarcane
72.62,42.91,45.31,29.64,45.81,7.17,141.56,cotton
44.32,65.21,28.48,32.98,59.63,7.31,44.1,groundnut
78.9,39.81,46.74,21.12,60.64,6.67,91.24,maize
56.69,35.14,75.04,34.98,81.9,5.75,200.57,coconut
61.02,49.99,38.83,26.98,51.05,6.78,96.07,cotton
71.57,38.07,49.63,31.08,57.65,7.19,101.24,maize
80.39,42.89,49.08,21.88,76.61,6.99,140.82,maize
84.49,50.88,35.52,24.66,76.95,6.82,180.45,rice
76.65,37.49,72.07,32.2,69.06,6.8,387.82,coconut
76.42,50.59,44.14,28.48,74.99,6.91,277.42,rice
38.5,31.6,45.45,25.28,51.58,7.1,33.09,millets
51.41,40.56,56.17,24.7,59.83,6.23,148.67,cotton
86.21,54.21,34.04,30.93,85.5,6.39,370.23,rice
48.03,57.75,37.81,31.43,55.86,7.6,109.01,groundnut
35.86,59.7,32.89,23.2,66.61,6.84,104.13,groundnut
105.45,49.81,42.49,29.19,76.45,6.72,135.88,sugarcane
93.41,51.66,41.48,33.0,83.04,7.19,199.8,sugarcane
43.34,54.7,61.73,22.63,63.71,6.96,127.51,cotton
94.06,49.89,41.65,29.68,90.89,6.57,223.39,rice
83.09,52.56,30.68,28.56,72.78,6.38,79.46,maize
78.6,44.33,58.28,33.9,85.52,7.22,205.56,sugarcane
108.78,39.37,42.8,29.44,74.73,6.82,171.74,sugarcane
81.48,51.42,43.64,31.15,88.38,6.59,335.34,rice
61.86,51.82,50.63,26.25,46.99,7.01,77.2,cotton
63.77,50.75,43.89,25.03,79.05,6.02,273.28,rice
56.37,27.58,21.74,30.27,58.8,6.6,110.69,millets
63.9,51.01,66.55,24.11,66.04,6.34,53.8,cotton
81.37,42.78,39.64,31.74,70.51,7.18,82.79,maize
59.81,55.14,63.56,27.55,67.44,7.19,147.58,cotton
42.4,51.94,46.99,24.73,42.16,6.76,120.02,pulses
59.24,40.85,52.93,31.13,57.66,6.38,94.48,millets
